sat_id,sat_beam_id,sat_beam_ch_id,macd_id,concat,Ref,FWD Msps,FWD Rolloff,Modulation,Coding Rate,Ideal Spectral Efficiency,MACD_capacity_Mbps,beam-capacity,beam-capacity-lap3
1B,50,1,5,1B5015,1BB050C1-MACD_5,48,0.1,32APSK,0.8,3.7,170.9213077,1056.1,993.5
1B,50,1,3,1B5013,1BB050C1-MACD_3,49,0.1,16APSK,0.9,3.5,155.4894385,1056.1,993.5
1B,50,1,4,1B5014,1BB050C1-MACD_4,48,0.1,16APSK,0.9,3.5,162.6066,1056.1,993.5
1B,50,1,2,1B5012,1BB050C1-MACD_2,49,0.1,16APSK,0.8,3.3,155.4894385,1056.1,993.5
1A,51,1,8,1A5118,1AB051C1-MACD_8,52,0.1,32APSK,0.8,4,197.57855,1544.3,1454.3
1A,51,1,1,1A5111,1AB051C1-MACD_1,52,0.2,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,3,1A5113,1AB051C1-MACD_3,52,0.1,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,4,1A5114,1AB051C1-MACD_4,52,0.1,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,5,1A5115,1AB051C1-MACD_5,52,0.1,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,6,1A5116,1AB051C1-MACD_6,52,0.1,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,7,1A5117,1AB051C1-MACD_7,52,0.1,32APSK,0.8,3.7,185.16475,1544.3,1454.3
1A,51,1,2,1A5112,1AB051C1-MACD_2,52,0.1,16APSK,0.9,3.5,176.15715,1544.3,1454.3
1B,51,1,6,1B5116,1BB051C1-MACD_6,52,0.1,32APSK,0.9,4.5,219.8927,903.2,1525.7
1B,51,1,2,1B5112,1BB051C1-MACD_2,52,0.1,32APSK,0.9,4.4,219.8927,903.2,1525.7
1B,51,1,7,1B5117,1BB051C1-MACD_7,52,0.1,32APSK,0.9,4.4,219.8927,903.2,1525.7
1B,51,1,1,1B5111,1BB051C1-MACD_1,52,0.2,32APSK,0.8,4.1,205.977,903.2,1525.7
1A,52,2,7,1A5227,1AB052C2-MACD_7,52,0.2,32APSK,0.9,4.4,205.977,228.7,206
1A,52,1,5,1A5215,1AB052C1-MACD_5,52,0.1,32APSK,0.8,4,185.16475,1490.1,1012.8
1A,52,1,6,1A5216,1AB052C1-MACD_6,52,0.1,32APSK,0.8,4,197.57855,1490.1,1012.8
1A,52,1,2,1A5212,1AB052C1-MACD_2,52,0.1,32APSK,0.8,3.7,185.16475,1490.1,1012.8
1A,52,1,3,1A5213,1AB052C1-MACD_3,52,0.1,32APSK,0.8,3.7,185.16475,1490.1,1012.8
1A,52,1,7,1A5217,1AB052C1-MACD_7,52,0.1,32APSK,0.8,3.7,185.16475,1490.1,1012.8
1A,52,1,8,1A5218,1AB052C1-MACD_8,52,0.1,32APSK,0.8,3.7,185.16475,1490.1,1012.8
1A,52,1,1,1A5211,1AB052C1-MACD_1,52,0.2,16APSK,0.8,3.3,165.0092,1490.1,1012.8
1A,52,1,4,1A5214,1AB052C1-MACD_4,52,0.1,16APSK,0.7,2.6,131.86005,1490.1,1012.8
1B,52,2,6,1B5226,1BB052C2-MACD_6,52,0.2,32APSK,0.8,4,197.57855,205.5,197.6
1B,52,1,6,1B5216,1BB052C1-MACD_6,52,0.1,32APSK,0.8,3.7,185.16475,1380.2,926.8
1B,52,1,7,1B5217,1BB052C1-MACD_7,52,0.1,32APSK,0.8,3.7,185.16475,1380.2,926.8
1B,52,1,8,1B5218,1BB052C1-MACD_8,52,0.1,32APSK,0.8,3.7,185.16475,1380.2,926.8
1B,52,1,1,1B5211,1BB052C1-MACD_1,52,0.2,16APSK,0.8,3.2,158.28115,1380.2,926.8
1B,52,1,3,1B5213,1BB052C1-MACD_3,52,0.1,16APSK,0.8,3.2,158.28115,1380.2,926.8
1B,52,1,4,1B5214,1BB052C1-MACD_4,52,0.1,16APSK,0.8,3.2,158.28115,1380.2,926.8
1B,52,1,2,1B5212,1BB052C1-MACD_2,52,0.1,16APSK,0.8,3,131.86005,1380.2,926.8
1B,52,1,5,1B5215,1BB052C1-MACD_5,52,0.1,16APSK,0.8,3,148.3364,1380.2,926.8
1A,53,1,4,1A5314,1AB053C1-MACD_4,52,0.2,32APSK,0.8,4,205.5,205.5,197.6
1B,53,1,4,1B5314,1BB053C1-MACD_4,52,0.2,32APSK,0.9,4.4,219.8927,228.7,219.9
1A,54,1,4,1A5414,1AB054C1-MACD_4,52,0.2,32APSK,0.8,4.1,205.977,972.4,914.5
1A,54,1,8,1A5418,1AB054C1-MACD_8,45,0.1,32APSK,0.9,4.4,190.2917596,972.4,914.5
1A,54,1,5,1A5415,1AB054C1-MACD_5,46,0.1,32APSK,0.8,4.1,182.2104231,972.4,914.5
1A,54,1,6,1A5416,1AB054C1-MACD_6,45,0.1,32APSK,0.8,4.1,185.4,972.4,914.5
1A,54,1,7,1A5417,1AB054C1-MACD_7,45,0.1,32APSK,0.8,4.1,185.4,972.4,914.5
1B,54,1,4,1B5414,1BB054C1-MACD_4,52,0.2,32APSK,0.8,4.1,205.977,901.4,820.7
1B,54,1,7,1B5417,1BB054C1-MACD_7,42,0.1,32APSK,0.9,4.4,159.582675,901.4,820.7
1B,54,1,5,1B5415,1BB054C1-MACD_5,42,0.1,32APSK,0.8,4.1,166.3660385,901.4,820.7
